Brand,Operating System,Processor,RAM Type,RAM Size,Disc Type,Disc Size,Price
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
ASUS,MAC ,Intel Core i3,DDR4,8 GB,SSD,512 GB,47990
DELL,Windows 11,AMD Ryzen 3 Quad Core,DDR4,8 GB,SSD,512 GB,43667
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,135990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,512 GB,98990
Infinix,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,46990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,35990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,109990
APPLE,MAC ,Apple M2,Unified Memory,8 GB,SSD,512 GB,139990
DELL,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,74770
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
HP,Windows 11,AMD Ryzen 3 Quad Core,DDR4,8 GB,SSD,512 GB,40799
ASUS,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,69490
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 5 Hexa Core,LPDDR5,16 GB,SSD,512 GB,99990
